Run #,Name,Executed At,Duration,Success,Status,Status Text,Test Name,Test Success,Test Logs,Error,Test Error
1,"Image Rotation, Right",12444,2890,SUCCESS,200,OK,status equals 200,true,,,
1,"Image Rotation, Right",12444,2890,SUCCESS,200,OK,body has length > 0,true,,,
1,"Image Rotation, Flip",12466,3263,SUCCESS,200,OK,status equals 200,true,,,
1,"Image Rotation, Flip",12466,3263,SUCCESS,200,OK,body has length > 0,true,,,
1,"Image Rotation, Left",12486,2899,SUCCESS,200,OK,status equals 200,true,,,
1,"Image Rotation, Left",12486,2899,SUCCESS,200,OK,body has length > 0,true,,,
1,Right,12444,2890,SUCCESS,200,OK,status equals 200,true,,,
1,Right,12444,2890,SUCCESS,200,OK,body has length > 0,true,,,
1,Flip,12466,3263,SUCCESS,200,OK,status equals 200,true,,,
1,Flip,12466,3263,SUCCESS,200,OK,body has length > 0,true,,,
1,Left,12486,2899,SUCCESS,200,OK,status equals 200,true,,,
1,Left,12486,2899,SUCCESS,200,OK,body has length > 0,true,,,
